geneID,symbol,entity,0_R1,0_R2,2.5_R1,2.5_R2,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2,30_R1,30_R2
gene-T7p41,gene-T7p41,phage,0.728239077588518,0.316130261416001,1.923741119206512,0.476232418115028,0.5376338741352953,5.688395404878,1690.9264760611431,2735.7217555140446,15574.818721502015,17029.107455881018,12521.020073013531,14767.71848391712
gene-b1446,ydcY,host,147.30860881062983,133.7729695109532,114.63794039309695,121.3069798365224,105.88060823250768,109.97883663538818,57.28418092096383,84.62680728245431,46.47156749933895,43.70678936922844,52.10706187563001,54.54138254083471
gene-b4379,yjjW,host,2.056816716473966,2.031890984267246,2.063038776788958,1.8853928744433048,1.3290692465225635,1.559427420606344,0.9747785239413372,1.091417157412605,0.959887853193332,0.9573422584244652,0.9390074433952128,1.2718960513660835
gene-b0790,ybhP,host,20.762148109600425,21.03261924279134,12.014619624577048,14.418564907453169,6.232853371030665,7.675239310113166,2.2621690728540744,3.183286530132857,2.307358770258743,2.260374199418506,6.897413113826664,6.468256273697075
gene-b1770,ydjF,host,5.83146863168708,6.013754818258159,4.8059394493295375,2.9499081112137575,3.618934733803984,4.036254212771728,2.623702942944908,3.383401327416449,2.36892734121844,2.0128894469621303,2.6180540920508566,2.7093431639321675
gene-b2213,ada,host,4.805900847506695,4.884357730362862,5.176479418719791,5.669128340046197,4.4595626936388415,5.717745118922232,2.8010800433130147,3.7032193106149727,2.5106123671668925,2.622372219132812,1.9320667543220549,2.0330471760115185
gene-b3361,fic,host,33.19053022404677,31.182971368931863,22.943286746793227,30.31381244528875,14.305387242809546,19.78508099053292,5.208246140472728,8.19285152013247,5.094339737162652,4.27652099285661,12.186988233552407,14.128252163305126
gene-b0811,glnH,host,189.292849130589,230.72579725528985,99.32505539098976,99.02212903695012,38.60308848425015,49.72701990889557,38.97621359820569,50.915267873513336,58.71793593795346,54.934483509921066,76.92286015082082,74.35653308523086
gene-b1242,ychE,host,7.117972457011028,6.71045022496465,7.110990211016637,6.814157509335518,5.741579144977474,5.866002587755707,3.146014176957089,5.1161609307643285,2.303730847663996,2.868272491907025,3.247967775222089,2.4010710936679867
gene-b4717,micL,host,91.6414488538671,103.82884525393256,61.88954051825322,83.43030069724527,64.48522766085449,55.68069362506531,40.073430291428906,59.21060495306095,32.43893161807732,29.193307456896633,39.41038576193997,39.44580074393749
gene-b0802,ybiJ,host,22.00738103143938,27.049912528167635,19.896089563361517,24.51370386187415,10.664818273889193,10.23796696094475,3.950633166963023,5.79438126511832,4.9061523155768425,4.511354025906122,5.090631057446911,5.627781777297524
gene-b2616,recN,host,4.521275767620864,4.195908486967156,3.808474127758477,3.249033429350213,3.0345385805945924,2.930212651978538,2.4390018332430103,2.986770364158356,1.9680681147697043,2.1956458676967983,2.157756862549979,2.2585622415508113
gene-b1099,holB,host,20.801753661535933,19.827747436941625,21.3435713405948,21.885262090762502,17.97999789559513,23.464981227762635,10.925568971367603,13.968172543688036,6.766779564481708,6.748834261179753,6.39963126120304,5.705432099664216
